SZU,Charge_Point,Charge_Point_2
Culgoa (Ext) (QLD),"28° 45'0""S","147° 51'0""E"
Culgoa (VIC),"35° 45'30""S","143° 12'0""E"
Cumborah,"29° 45'0""S","147° 51'30""E"
Cummins,"34° 19'30""S","135° 45'30""E"
Cumnock,"32° 50'30""S","148° 47'0""E"
Cunderdin,"31° 41'30""S","117° 13'15""E"
Cunderdin North,"31° 26'30""S","117° 11'30""E"
Cundinup,"33° 45'50""S","115° 44'0""E"
Cunnamulla,"28° 4'30""S","145° 41'30""E"
Cunningham,"28° 11'30""S","151° 45'0""E"
Cunninyeuk,"35° 19'0""S","143° 54'0""E"
Curban,"31° 29'30""S","148° 38'0""E"
Curlewis,"31° 15'30""S","150° 10'0""E"
Currabubula,"31° 20'0""S","150° 45'30""E"
Curramulka,"34° 46'0""S","137° 45'0""E"
Currawarna,"34° 59'50""S","147° 6'0""E"
